SLIPID,SLIPTIMESTAMP,PLAYER_ID,CURRENTSF,LOGSF,STAKE,GGR,BETODD,SPORTNAMEENGLISH,LEAGUENAMEENGLISH,EVENTDESCRIPTION,GAMEDESCRIPTION,Market Name,Market Name Corners,RESULTDESCRIPTION,SRC_EVENT_ID,GOAL_EXP_HOME,GOAL_EXP_AWAY,DRAW_FACTOR,FIRST_HALF_GOALS_PERC,INJURY_TIME_1ST_HALF,INJURY_TIME_2ND_HALF,MINUTES,Data Set,Default 1st Half Injury Time,1st Half Injury Time change?,Magnitude of change,Magnitude of change relative
7931083778,0.035497685,709567821,0.01,0.01,2,2,3.25,Football,Premier League,Wolverhampton Wanderers - Fulham,Total Corners,Total Corners,Total Corners,"Under 7,5",7545210,1.4366,1.0377,0.9525,0.4511,4,7,19,Dynamic,4,1st Half Inj Time decreased,2,-2
7925449512,0.01431713,709567821,0.01,0.06,5,5,2.8,Football,Bundesliga,RB Leipzig - 1. FC Heidenheim,Total Corners,Total Corners,Total Corners,"Over 11,5",7558265,2.5075,0.7256,0.9584,0.4483,3,6,45,Dynamic,3,No change in 1st Half Inj Time,0,0
7790723604,0.006006944,705955891,0.3,0.3,204.7324884,-122.839493,1.6,Football,Primeira Liga,CD Santa Clara - SC Farense,CD Santa Clara - Total Corners,Strong Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Over 9,5",7531815,2.0783,0.4611,0.7,0.437,3,5,73,Dynamic,2,1st Half Inj Time increased,1,1
7927211149,0.018402778,706397936,0.01,0.01,0.836737,-0.44347061,1.53,Football,"Liga MX, Clausura",Club Santos Laguna - Atlas FC,Total Corners,Total Corners,Total Corners,"Over 8,5",7561917,1.1205,1.4402,0.9508,0.437,5,5,55,Dynamic,2,1st Half Inj Time increased,3,3
7914154715,0.027199074,709377717,0.01,0.01,0.20782333,0.04022387,2.35,Football,UEFA Champions League,Real Madrid - Manchester City,Real Madrid - Total Corners,Medium Jolly - Total Corners,Slight Corner Dog - Total Corners,"Over 7,5",7559922,1.9194,1.2255,0.8459,0.4366,2,5,38,Dynamic,2,No change in 1st Half Inj Time,0,0
7754935108,0.0278125,577284135,0.3,0.3,0.18235962,-0.08963439,1.49,Football,Trofeo de Campeones,Velez Sarsfield - Estudiantes de La Plata,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 5,5",7530739,1.3546,1.1439,0.9554,0.4931,2,5,37,Dynamic,2,1st Half Inj Time decreased,1,-1
7876100009,0.02443287,708954202,0.01,0.3,58.1931805,58.1931805,3.4,Football,Copa del Rey,Valencia CF - FC Barcelona,Most Corners,Most Corners,Most Corners,Valencia CF,7541570,0.8903,2.4419,0.9773,0.4477,2,5,4,Dynamic,2,No change in 1st Half Inj Time,0,0
7628903565,0.022002315,702939698,0.01,1,101.1944991,-111.313949,2.1,Football,Brasileiro Serie A,EC Juventude Caxias do Sul RS - EC Bahia BA,EC Bahia BA - Total Corners,Slight Dog - Total Corners,Slight Corner Jolly - Total Corners,"Under 2,5",7504432,1.6978,1.2754,0.9544,0.437,2,5,31,Dynamic,2,1st Half Inj Time increased,3,3
7834889013,0.030289352,708162414,0.01,0.99,9,9,4.75,Football,UEFA Champions League,Feyenoord Rotterdam - Bayern Munich,Total Corners,Total Corners,Total Corners,"Under 13,5",7530347,0.7399,3.5071,0.9651,0.437,7,5,75,Dynamic,2,1st Half Inj Time increased,5,5
7827087766,0.009618056,708239459,0.01,0.3,72.4942125,72.4942125,1.72,Football,Primeira Liga,CF Estrela da Amadora - SC Braga,Total Corners,Total Corners,Total Corners,"Under 7,5",7535369,0.8765,1.6746,0.9593,0.4554,1,5,53,Dynamic,2,1st Half Inj Time decreased,1,-1
7822030915,0.009826389,708239459,0.01,0.3,16.109825,-24.97022875,2.55,Football,Premier League,Newcastle United - AFC Bournemouth,Total Corners,Total Corners,Total Corners,"Under 13,5",7531525,1.9937,1.104,0.935,0.437,4,7,81,Dynamic,4,No change in 1st Half Inj Time,0,0
7902914163,0.040162037,502930185,0.01,0.01,2,2,4.1,Football,Bundesliga,Union Berlin - Borussia Monchengladbach,Total Corners,Total Corners,Total Corners,"Over 11,5",7543786,1.6643,1.2649,0.9246,0.437,6,6,65,Dynamic,3,1st Half Inj Time increased,3,3
7876100287,0.024513889,705505441,0.01,1,249.2330788,249.2330788,3.3,Football,Copa del Rey,Valencia CF - FC Barcelona,Most Corners,Most Corners,Most Corners,Valencia CF,7541570,0.8903,2.4419,0.9773,0.4477,2,5,4,Dynamic,2,No change in 1st Half Inj Time,0,0
7925449705,0.014351852,502930185,0.01,0.01,2,2,2.8,Football,Bundesliga,RB Leipzig - 1. FC Heidenheim,Total Corners,Total Corners,Total Corners,"Over 11,5",7558265,2.5075,0.7256,0.9584,0.4483,3,6,45,Dynamic,3,No change in 1st Half Inj Time,0,0
